title,views,likes,date,comments_amount,keywords,channel_name
GUESS Spring 2019 Campaign ft. J Balvin ||,27107310,499,31 de jan. de 2019,24,[''],GUESS
GUESS x J Balvin 'Colores' Campaign 2020 (:15),16197872,74,19 de jun. de 2020,5,"['GUESS', 'J Balvin', 'Fashion', 'Style', 'Colores', 'Trend', 'Models', 'Fashion Industry', 'Clothing', 'Apparel', 'Designer', 'Accessories', 'Music', 'Artist']",GUESS
GUESS Holiday 2019 Campaign (:15),4250465,175,20 de dez. de 2019,1,[''],GUESS
GUESS 1981 Fragrance Campaign,3671587,114,15 de mai. de 2017,7,[''],GUESS
GUESS Dare – The New Fragrance for Women,3182694,105,3 de set. de 2014,14,[''],GUESS
OUR FAMILY. ,28009951,32,22 de jan. de 2018,0,[''],Calvin Klein
Justin Bieber - Calvin Klein Underwear Spring 2015,11243544,15,6 de jan. de 2015,0,"['Calvin Klein Inc. (Business Operation)', 'Calvin Klein (Fashion Designer)', 'Undergarment (Garment)', 'Jeans (Garment)', 'mycalvins', 'Tattoo (Visual Art Form)', 'Drums (Musical Instrument)', 'Supermodel (Profession)', 'Musician (Profession)', 'music']",Calvin Klein
Calvin Klein Underwear Push Positive,11070601,2,29 de ago. de 2012,0,"['calvin', 'klein', 'underwear', 'push', 'positive', 'bra', 'lara', 'stone', 'fall', '2012', 'advertising', 'advert', 'campaign', 'commercial', 'ad', 'spot', 'steven', 'saltnpepa', 'salt', 'pepa', 'it', 'tv', 'Commercials', 'Ads', 'song', 'music', 'video']",Calvin Klein
Justin Bieber + Lara Stone - Calvin Klein Jeans Spring 2015,10171720,31,6 de jan. de 2015,0,"['Calvin Klein (Fashion Designer)', 'Calvin Klein Inc. (Business Operation)', 'Justin Bieber (Celebrity)', 'Jeans (Garment)', 'Undergarment (Garment)', 'Tattoo (Visual Art Form)', 'Muscle (Anatomical Structure)', 'mycalvins', 'Drums (Musical Instrument)', 'Musician (Profession)', 'Music (TV Genre)', 'Supermodel (Profession)', 'Superstar (Composition)', 'Retail (Industry)']",Calvin Klein
ETERNITY CALVIN KLEIN,8948249,228,5 de jun. de 2019,14,[''],Calvin Klein
A Melhor Bermuda do Mundo,2790127,36,25 de nov. de 2019,5,[''],RESERVA
Reserva apresenta: Refrescant&,2207558,41,9 de dez. de 2019,0,[''],RESERVA
Livre Pra Ser | Conheça a nova campanha da Reserva,2175005,257,18 de set. de 2019,133,[''],RESERVA
Reserva pra calçar apresenta: Tênis Hero,1955028,272,2 de ago. de 2019,7,[''],RESERVA
Camiseta Simples,1883868,40,20 de mai. de 2021,0,[''],RESERVA
TAIS por Maria Ribeiro - Coleção Mulheres | ANIMALE,2032467,285,30 de jan. de 2020,7,[''],Animale
Inspiração Coleção Costa Azul | ANIMALE,1775341,92,20 de jun. de 2018,0,[''],Animale
Lançamento RIO DE JANEIRO | ANIMALE,1752540,2,28 de ago. de 2020,48,[''],Animale
Clara Buarque em Rio de Janeiro | ANIMALE,1732885,233,28 de ago. de 2020,5,[''],Animale
SAMILE por Maria Ribeiro - Coleção Mulheres | ANIMALE,1645138,133,4 de mar. de 2020,1,[''],Animale
