title,views,likes,date,comments_amount,keywords,channel_name,subscribers
"GUESS Island Getaway | Langkawi Island, Malaysia",41,3,Estreou há 2 horas,0,"['GUESS', 'GUESS Jeans', 'GUESS USA']",GUESS,"94,4 mil inscritos"
"Marciano Polo Club Event | Warsaw, Poland",278,23,Estreou em 11 de jul. de 2023,1,"['GUESS', 'GUESS Jeans', 'GUESS USA']",GUESS,"94,4 mil inscritos"
GUESS Eco Getaway: 1 Hotel South Beach | ,676,16,7 de jul. de 2023,0,"['GUESS', 'GUESS Jeans', 'GUESS USA']",GUESS,"94,4 mil inscritos"
"GUESS Denim Summer Event | Lisbon, Portugal",368,21,Estreou em 6 de jul. de 2023,2,"['GUESS', 'GUESS Jeans', 'GUESS USA']",GUESS,"94,4 mil inscritos"
"Summer Gifting Suite & Cocktail Event | Miami, FL",407,23,Estreou em 30 de jun. de 2023,0,"['GUESS', 'GUESS Jeans', 'GUESS USA']",GUESS,"94,4 mil inscritos"
"Alex Morgan, Chloe Kelly, Mana Iwabuchi and more in Calvins or nothing | Calvin Klein",8159,121,27 de jun. de 2023,6,[''],Calvin Klein,411 mil inscritos
Let it out with Brandon Flynn | Calvin Klein Pride 2023,60836,1,23 de mai. de 2023,0,"['Calvin Klein', 'Pride 2023', 'Calvin Klein Ad']",Calvin Klein,411 mil inscritos
Let it out with Amandla Stenberg | Calvin Klein Pride 2023,17878,276,23 de mai. de 2023,15,"['Calvin Klein', 'Pride 2023', 'Calvin Klein Ad']",Calvin Klein,411 mil inscritos
This is JENNIE’s World | Jennie for Calvin Klein,764303,68,4 de mai. de 2023,0,[''],Calvin Klein,411 mil inscritos
Jung Kook in Iconic Tees | Calvin Klein Spring 2023,782403,141,18 de abr. de 2023,0,[''],Calvin Klein,411 mil inscritos
DIA DOS NAMORADOS RESERVA,1070,36,24 de mai. de 2023,3,[''],RESERVA,41 mil inscritos
RESERVA + FLAMENGO 23,23272,58,18 de mai. de 2023,1,[''],RESERVA,41 mil inscritos
ADAPTE,179,3,12 de mai. de 2023,0,[''],RESERVA,41 mil inscritos
GLUE JEANS,232,7,2 de mai. de 2023,3,[''],RESERVA,41 mil inscritos
Reserva Pra Cachorro,259,9,24 de mar. de 2023,0,[''],RESERVA,41 mil inscritos
ANIMALE | VERÃO 24,182,4,4 de jul. de 2023,0,[''],Animale,"17,2 mil inscritos"
Dia das Mães Animale 23 | Potência Mãe: força que traduz amor,134,5,14 de mai. de 2023,0,"['#AnimalePotenciaMae', '#DiaDasMaes']",Animale,"17,2 mil inscritos"
POTÊNCIA MÃE | Família Animale,109,0,11 de mai. de 2023,0,"['#AnimalePotenciaMae', '#DiaDasMaes']",Animale,"17,2 mil inscritos"
POTÊNCIA MÃE | Família Animale,114,1,9 de mai. de 2023,0,"['#AnimalePotenciaMae', '#DiaDasMaes']",Animale,"17,2 mil inscritos"
WEBDOCS | SUPERNATURAL,109,1,9 de mai. de 2023,0,"['MODA', 'INVERNO 23', 'INVERNO', 'FASHION']",Animale,"17,2 mil inscritos"
